Brand,Component,Base Clock(GHz),Turbo Clock(GHz),Cores,Memory_Size(GB),RAM_Speed(MHz),Price
AMD,CPU,4.5,5.7,16,0,0,544.02
AMD,CPU,4.5,5.4,8,0,0,318.44
AMD,CPU,3.8,5.1,6,0,0,216.89
Intel,CPU,3,5.2,24,0,0,522.99
Intel,CPU,3.4,5.3,16,0,0,369.99
Intel,CPU,3.5,5.1,14,0,0,297.99
ASUS,GPU,1.9,2.5,0,12,0,629.99
MSI,GPU,2.3,2.6,0,12,0,705
GIGABYTE,GPU,2.3,2.6,0,12,0,719.99
Corsair,RAM,0,0,0,32,3200,81.99
Corsair,RAM,0,0,0,16,3000,328.18
G.Skill Aegis,RAM,0,0,0,8,3000,21.99
Samsung,SSD,0,0,0,2000,0,174.99
Samsung,SSD,0,0,0,1000,0,104.95
Corsair,SSD,0,0,0,4000,0,329.99
ASUS,GPU,1.7,1.9,0,8,0,779.99
Gigabyte,GPU,1.5,1.7,0,8,0,295.5
Gigabyte,GPU,1.6,1.9,0,8,0,319.99
Corsair,RAM,0,0,0,16,4800,79.99
Crucial Ballistix,RAM,0,0,0,4,1600,16.3
Corsair,RAM,0,0,0,16,3000,43.99
Corsair,SSD,0,0,0,4000,0,553.45
Sabrent Rocket,SSD,0,0,0,512,0,44.99
Samsung,SSD,0,0,0,500,0,69.9
AMD,CPU,3.4,4.6,8,0,0,162
ASUS,GPU,1.4,1.85,0,10,0,499.99
Corsair,RAM,0,0,0,16,1600,24.99
ADATA,SSD,0,0,0,240,0,46.9
Intel,CPU,3.3,4.3,4,0,0,87.04
EVGA,GPU,1.39,1.69,0,24,0,899.99
Crucial Ballistix,RAM,0,0,0,8,2666,89.96
Samsung,SSD,0,0,0,1000,0,149.99
Intel,CPU,2.6,4.4,6,0,0,150.95
INNO3D,GPU,1.41,1.65,0,8,0,269.99
G.Skill,RAM,0,0,0,32,3200,69.99
Seagate,SSD,0,0,0,2000,0,187.99
Intel,CPU,3.3,3.3,2,0,0,45.99
MSI,GPU,1.57,1.8,0,8,0,369.99
Corsair,RAM,0,0,0,8,2666,24.99
Corsair,SSD,0,0,0,240,0,54.99
